user_id,ave_qty
8.99665E+11,114
73369731377,114
5.5522E+11,114
5.39884E+11,114
6.18746E+11,114
94644701907,114
9551145196,113.5
2.07971E+11,113.5
1.36178E+11,113.4615
3.23631E+11,113.3333
7506546314,113
6.29744E+11,113
7.76137E+11,113
2.38956E+11,112.5
6.37818E+11,112.5
7.99871E+11,112.25
8.86466E+11,112
8.47821E+11,112
7.9575E+11,112
4.3957E+11,112
7.24362E+11,112
77084885112,112
3.16451E+11,112
8.48678E+11,112
2.4632E+11,112
1.58528E+11,112
2.15511E+11,112
8.84754E+11,111.5
3.21051E+11,111.3333
7.16607E+11,111
9.19314E+11,111
2.58417E+11,111
2.89847E+11,111
60224914653,111
4.10303E+11,111
1.71285E+11,111
60967149490,111
1.59811E+11,110.5
8.44414E+11,110
4.34635E+11,110
3.89943E+11,110
25593602162,110
3.657E+11,110
2.66771E+11,110
5.44241E+11,110
1.62167E+11,110
7.16916E+11,110
4.23904E+11,110
3.56621E+11,109.75
5.51954E+11,109.6667
3.69476E+11,109.5
1.14503E+11,109.25
5.50744E+11,109.25
1.33883E+11,109.2
4.86535E+11,109
2.3332E+11,109
7.94211E+11,109
3.22153E+11,109
2.87953E+11,109
4.62886E+11,109
1.82232E+11,109
8.72731E+11,108.7143
9.61033E+11,108.6667
5.63371E+11,108.6667
5.46342E+11,108.5
9.32787E+11,108
5.40508E+11,108
6.12165E+11,108
6.89878E+11,108
3.82573E+11,108
5.80302E+11,108
2.67107E+11,108
4.69336E+11,108
6.8925E+11,108
2.21574E+11,108
9.64565E+11,108
1.60931E+11,108
4.49587E+11,108
1.97255E+11,107.6667
1.1279E+11,107.5
2.88206E+11,107.5
5.33121E+11,107.5
2.47643E+11,107.5
32709327849,107
1.65411E+11,107
3.43425E+11,107
1.14454E+11,107
6.81969E+11,107
1.35098E+11,107
6.54852E+11,106.7143
4.6817E+11,106.6667
4.0643E+11,106.5
5.20437E+11,106.25
2.8841E+11,106
7.42215E+11,106
8.00839E+11,106
5.70068E+11,106
3.27776E+11,106
2.69119E+11,106
9.835E+11,106
9.79877E+11,106
89544517716,106
9.7076E+11,106
3.60499E+11,106
2.32082E+11,106
1.80258E+11,106
3.54984E+11,106
1.8451E+11,105
4.08615E+11,105
47484496937,105
8.96613E+11,105
28473887541,105
8.37409E+11,105
6.75131E+11,105
2.70396E+11,105
4.0328E+11,105
8.64891E+11,105
1.60541E+11,104.75
6.40114E+11,104.625
7.82835E+11,104.5
8.37804E+11,104.5
20291915874,104.5
4.74819E+11,104.3333
6.18993E+11,104
7.98248E+11,104
3.9529E+11,104
6.15503E+11,104
3.12136E+11,104
1.70184E+11,104
5.8057E+11,104
2.74132E+11,104
7.06924E+11,104
1.30262E+11,104
2.13128E+11,104
99374173265,104
9.86038E+11,104
2.84431E+11,104
9.75721E+11,103.9333
5.30602E+11,103.8333
8.1013E+11,103.4
2.06999E+11,103.25
3.21489E+11,103
4.72442E+11,103
3.62546E+11,103
8.90466E+11,103
9.51482E+11,103
2.04322E+11,103
6.40272E+11,102.75
8.85564E+11,102.6667
17272757468,102.5
3.40612E+11,102
2.83263E+11,102
9.00419E+11,102
4.02076E+11,102
4.79694E+11,102
2.0103E+11,102
19479124642,102
1.0742E+11,102
2.78222E+11,102
17246361451,102
2.28191E+11,102
2.5084E+11,102
20792622775,102
2.71378E+11,102
6.11649E+11,102
3.75598E+11,102
2.30913E+11,102
4.61413E+11,102
6.53842E+11,101.6667
9.7409E+11,101.5
66903001026,101.5
86062271953,101.3333
8.12368E+11,101.2
8.77556E+11,101
2.32009E+11,101
5.93541E+11,101
1.03211E+11,101
7.97557E+11,101
2.09269E+11,101
9.0783E+11,101
7.31151E+11,100.6667
8.62043E+11,100.5
2.97329E+11,100.5
6.48887E+11,100
